question,answer
What is the return policy of the products?,You can return products within 30 days of delivery.
Do I get discount with the HDFC credit card?,"Yes, HDFC credit card users get a 10% discount on select items."
How can I track my order?,You can track your order using the tracking link sent to your email.
What payment methods are accepted?,"We accept credit/debit cards, net banking, UPI, and cash on delivery."
How long does it take to process a refund?,Refunds are processed within 5-7 business days after the return is received.
Are there any ongoing sales or promotions?,"Yes, check our 'Deals' section for ongoing sales and discounts."
Can I cancel or modify my order after placing it?,You can cancel or modify your order within 1 hour of placing it.
Do you offer international shipping?,"Yes, we offer international shipping to select countries."
What should I do if I receive a damaged product?,Contact our support team within 48 hours for a replacement or refund.
How do I use a promo code during checkout?,Enter your promo code in the designated field during checkout.
Do you offer no-cost EMI options?,"Yes, no-cost EMI is available on select products and banks during checkout."
What are the delivery charges?,"Delivery charges vary by seller and location and are shown at checkout before payment."
How long will it take to deliver my order?,"Estimated delivery dates are shown on the product page and confirmed at checkout."
Is installation provided for large appliances?,"Yes, eligible appliances include free or paid installation scheduled after delivery."
What is the exchange policy for size or defects?,"Eligible items can be replaced within 7 days for size issues or manufacturing defects."
How do I claim warranty for a product?,"Warranty is provided by the manufacturer; use your invoice from My Orders to claim service."
What is Flipkart Plus?,"Flipkart Plus is a rewards program offering free deliveries, early access to sales, and exclusive offers."
"Do you offer Buy Now, Pay Later?","Yes, BNPL is available to select users subject to eligibility and credit approval."
How can I download my invoice?,"Go to My Orders, open the order details, and click on Download Invoice."
Are gift cards available?,"Yes, Flipkart e-gift cards are available in multiple denominations and are delivered via email."
How do I report a counterfeit or wrong product?,"Use the Report this product option on the product page or contact support with your order details."
Can I schedule the delivery time?,"Scheduled delivery is available for select products and locations; you’ll see the option at checkout."
Is Cash on Delivery (COD) available for my location?,"COD is available on eligible orders subject to pincode serviceability and value limits."
Do you provide open-box delivery?,"Open-box delivery is available for select smartphones and appliances in eligible cities."
